Delivery,Bowler,Batsman,Runs,Commentary
19.6,Maxwell,Gaikwad, FOUR,"Maxwell to Gaikwad, FOUR, India finish with 222/3 in 20 overs! Gaikwad spanks this over deep mid-wicket and the fielder sprinting across only manages to get his hands to it, can't grab the ball though and India finish on a high"
19.5,Maxwell,Gaikwad, SIX,"Maxwell to Gaikwad, SIX, stays put and clubs this floated delivery over long-on for six more. Maxwell has no answers to this onslaught by Gaikwad"
19.4,Maxwell,Gaikwad, SIX,"Maxwell to Gaikwad, SIX, shimmies down the wicket and smokes this floated delivery over long-on for a maximum more. Insane hitting"
19.4,Maxwell,Gaikwad, wide,"Maxwell to Gaikwad, wide, fired down the leg-side, it's a wide ball"
19.3,Maxwell,Tilak Varma, 1 run,"Maxwell to Tilak Varma, 1 run, off an inside edge and off the pads towards the leg-side"
19.2,Maxwell,Gaikwad, 1 run,"Maxwell to Gaikwad, 1 run, into the slot and Gaikwad has heaved this towards deep mid-wicket on the bounce"
19.2,Maxwell,Gaikwad, no ball,"Maxwell to Gaikwad, no ball, FOUR, smashes this floated delivery right over the bowler's head and manages to beat long-off, but Maxwell has overstepped. Free-hit coming up!"
19.1,Maxwell,Gaikwad, SIX,"Maxwell to Gaikwad, SIX, maiden T20I century for Gaikwad! What a special moment as he takes off the helmet and celebrates it in style. Has a wide smile on his face too. Brings it up with a maximum over deep mid-wicket and Tilak walks up to him and congratulates him. Not for the first time have we seen him play such a knock. Has done this on several previous occasions in India's domestic circuit and in the Indian Premier League.."
18.6,Nathan Ellis,Tilak Varma, 2 runs,"Nathan Ellis to Tilak Varma, 2 runs, slashed over cover as it's a widish delivery, but it lands just in front of the fielder who was charging in from the deep"
18.5,Nathan Ellis,Tilak Varma, FOUR,"Nathan Ellis to Tilak Varma, FOUR, runs coming thick and fast from both the ends! A short ball by Nathan Ellis and Tilak Varma swivel-pulls this towards deep square leg as the ball almost goes the distance"
18.4,Nathan Ellis,Tilak Varma, 2 runs,"Nathan Ellis to Tilak Varma, 2 runs, scoops this short ball over the keeper's head for a couple of runs. Couldn't really middle it as there wasn't much pace on offer"
18.3,Nathan Ellis,Tilak Varma, no run,"Nathan Ellis to Tilak Varma, no run, slower bouncer outside off, Tilak Varma swings and misses, got deceived due to the lack of pace"
18.2,Nathan Ellis,Gaikwad, 1 run,"Nathan Ellis to Gaikwad, 1 run, opens the bat face and slices this towards backward point for one"
18.1,Nathan Ellis,Tilak Varma, 1 run,"Nathan Ellis to Tilak Varma, 1 run, good field placement as Tilak Varma whips it towards deep mid-wicket, nothing more than a single though"
18.1,Nathan Ellis,Tilak Varma, wide,"Nathan Ellis to Tilak Varma, wide, fired outside off, Tilak Varma can't reach for it, back-to-back wides"
18.1,Nathan Ellis,Tilak Varma, wide,"Nathan Ellis to Tilak Varma, wide, starts off with a wide, goes slow, but misses the tramline outside off"
17.6,Hardie,Gaikwad, 2 runs,"Hardie to Gaikwad, 2 runs, 25 runs from the over! Gaikwad goes down on his knee and swipes this towards deep mid-wicket, but the fielder stationed near the fence sprints across and stops it"
17.5,Hardie,Gaikwad, SIX,"Hardie to Gaikwad, SIX, excellent batting! Walks across in the crease and swipes this overpitched delivery over deep backward square leg. Into the 90s now!"
17.4,Hardie,Gaikwad, no run,"Hardie to Gaikwad, no run, looks to play across, but Hardie goes full and wide outside off"
17.3,Hardie,Gaikwad, FOUR,"Hardie to Gaikwad, FOUR, add four more to it. Hardie is proving to be really expensive in his last over. Goes full again and Gaikwad lofts it over the bowler's head and the lightning quick outfield is enough to fetch him a boundary. Plenty of changes in the field following that as the bowler seems to be under tremendous pressure"
17.2,Hardie,Gaikwad, SIX,"Hardie to Gaikwad, SIX, short and punished! Gets hold of this loosener and thumps it over deep mid-wicket for the second maximum of the over"
17.2,Hardie,Gaikwad, wide,"Hardie to Gaikwad, wide, Hardie goes wide outside off and it's missed the tramline. Wade wants a review for a wide, but it's not available in this format"
17.1,Hardie,Gaikwad, SIX,"Hardie to Gaikwad, SIX, spanked! Hardie goes full and straight outside off, Gaikwad stands tall and lofts it over long-off for a clean six. No need to run for those"
16.6,Behrendorff,Gaikwad, 1 run,"Behrendorff to Gaikwad, 1 run, end of a fantastic spell by Behrendorff. Can well prove to be a match defining one. Right into the blockhole and Gaikwad can only manage to dig it towards deep mid-on. A single to end Behrendorff's spell: 4-1-12-1"
16.5,Behrendorff,Tilak Varma, 1 run,"Behrendorff to Tilak Varma, 1 run, 111 kph, Tilak Varma swings across the line, gets an inside edge on to the pads. The ball rolls towards the leg-side for a single"
16.4,Behrendorff,Gaikwad, 1 run,"Behrendorff to Gaikwad, 1 run, back to a quicker delivery, Gaikwad gets a leading edge towards mid-off as he tries to play this across the line"
16.3,Behrendorff,Tilak Varma, 1 run,"Behrendorff to Tilak Varma, 1 run, another slower one around off, Tilak Varma eases it towards mid-off for one"
16.2,Behrendorff,Gaikwad, 1 run,"Behrendorff to Gaikwad, 1 run, Behrendorff goes short and slow, Gaikwad pulls this through the on-side for a single"
16.1,Behrendorff,Gaikwad, 2 runs,"Behrendorff to Gaikwad, 2 runs, 150 up for India! A length delivery by Behrendorff and Gaikwad heaves it through the leg-side for a couple of runs"
15.6,Nathan Ellis,Gaikwad, 1 run,"Nathan Ellis to Gaikwad, 1 run, short of a length around middle and leg, Gaikwad drags it towards deep mid-wicket for a single"
15.5,Nathan Ellis,Tilak Varma, 1 run,"Nathan Ellis to Tilak Varma, 1 run, short and quick on middle and leg, Tilak Varma goes for the pull, miscues it towards deep square leg for one"
15.4,Nathan Ellis,Tilak Varma, no run,"Nathan Ellis to Tilak Varma, no run, slower short ball outside off, Tilak Varma swings and misses"
15.3,Nathan Ellis,Gaikwad, 1 run,"Nathan Ellis to Gaikwad, 1 run, full and straight at the stumps, Gaikwad heaves this towards wide long-on for one"
15.2,Nathan Ellis,Tilak Varma, 1 run,"Nathan Ellis to Tilak Varma, 1 run, slower short ball outside off, Tilak Varma chops it towards gully for a single"
15.1,Nathan Ellis,Gaikwad, 1 run,"Nathan Ellis to Gaikwad, 1 run, slower delivery on middle and leg, Gaikwad works this through mid-wicket for one"
14.6,Sangha,Tilak Varma, no run,"Sangha to Tilak Varma, no run, fired outside off, Tilak Varma has a poke at it and almost nicks it behind"
14.5,Sangha,Tilak Varma, no run,"Sangha to Tilak Varma, no run, spins in sharply, Tilak Varma stays rooted in the crease and knocks this back to Sangha"
14.4,Sangha,Gaikwad, 1 run,"Sangha to Gaikwad, 1 run, tad short outside off, Gaikwad carves this through the off-side for one"
14.3,Sangha,Gaikwad, SIX,"Sangha to Gaikwad, SIX, goes inside out and lofts this nonchalantly over deep extra cover for half-a-dozen. This is Gaikwad's hightest score in T20Is"
14.2,Sangha,Gaikwad, FOUR,"Sangha to Gaikwad, FOUR, swept away! Floated on middle and leg, Gaikwad goes down on his knee and sweeps it past short fine leg for four more"
14.1,Sangha,Gaikwad, no run,"Sangha to Gaikwad, no run, tad short outside off, Gaikwad cuts it towards the fielder at point"
13.6,Hardie,Tilak Varma, wide,"Hardie to Tilak Varma, wide, banged in short by Hardie, Tilak Varma goes for the hook, but misses. Called an overhead wide this time around"
13.5,Hardie,Gaikwad, 1 run,"Hardie to Gaikwad, 1 run, opens the bat face and steers this short of a length delivery to third man for one"
13.4,Hardie,Gaikwad, FOUR,"Hardie to Gaikwad, FOUR, fifty for Gaikwad! Hardie goes short and the opener nails his pull through mid-wicket to bring up the milestone. Raises his bat to acknowledge the crowd. Another solid knock by him"
13.4,Hardie,Gaikwad, wide,"Hardie to Gaikwad, wide, back-to-back wides, another one well outside off"
13.4,Hardie,Gaikwad, wide,"Hardie to Gaikwad, wide, goes for the wide yorker but misses the tramline"
13.3,Hardie,Gaikwad, FOUR,"Hardie to Gaikwad, FOUR, width on offer, Gaikwad pounces on it and crunches it through cover-point for a rollicking boundary"
13.2,Hardie,Gaikwad, 2 runs,"Hardie to Gaikwad, 2 runs, decent running between the wickets, Gaikwad clips this through mid-wicket for a couple of runs"
13.1,Sangha,Gaikwad, FOUR,"Sangha to Gaikwad, FOUR, back-to-back boundaries for Gaikwad - another half-tracker from Sangha, short and wide of off, Gaikwad backs away and then slaps it over cover for another boundary, 12 off the over"
12.5,Sangha,Gaikwad, FOUR,"Sangha to Gaikwad, FOUR, clubbed, a half-tracker from Sangha - Gaikwad rocks back and then hammers the pull over mid-wicket, one bounce and over the ropes"
12.4,Sangha,Tilak Varma, 1 run,"Sangha to Tilak Varma, 1 run, tossed up on off, worked in front of square on the on-side for a single"
12.4,Sangha,Tilak Varma, wide,"Sangha to Tilak Varma, wide, pushed through with a seam-up action, but it's past the tramlines and is called as a wide"
12.3,Sangha,Tilak Varma, no run,"Sangha to Tilak Varma, no run, tossed up well wide of off, sliced away straight to the fielder at backward point"
12.2,Sangha,Gaikwad, 1 run,"Sangha to Gaikwad, 1 run, flighted delivery on middle and leg, worked down to long-on for a single"
12.1,Sangha,Tilak Varma, 1 run,"Sangha to Tilak Varma, 1 run, tossed up on middle and leg, pulled away behind square on the on-side for a single"
11.6,K Richardson,Gaikwad, FOUR,"K Richardson to Gaikwad, FOUR, lovely, short and wide of off, Gaikwad gets on top of the bounce and then crunches it square past point, races away to the ropes"
11.5,K Richardson,Gaikwad, no run,"K Richardson to Gaikwad, no run, fuller length delivery and well wide of off, Gaikwad picks out backward point with the cut"
11.4,K Richardson,Tilak Varma, 1 run,"K Richardson to Tilak Varma, 1 run, back of a length and angling across the left-hander, Varma runs it down towards third man"
11.3,K Richardson,Tilak Varma, FOUR,"K Richardson to Tilak Varma, FOUR, slapped, width on offer from Richardson - Varma leans across, opens the face of the bat and then slices the drive square past point, races away to the ropes in a hurry"
11.2,K Richardson,Tilak Varma, no run,"K Richardson to Tilak Varma, no run, short of a good length and just outside off, defended back at the bowler"
11.1,K Richardson,Tilak Varma, FOUR,"K Richardson to Tilak Varma, FOUR, that's easy pickings for Tilak Varma - back of a length and well down leg, the left-hander swivels across and pulls it over long leg, who was inside the ring - almost went all the way, bouncing in front of the ropes"
10.6,Hardie,Gaikwad, FOUR,"Hardie to Gaikwad, FOUR, beautifully played, another slower short ball from Hardie, but this one sat up to be smacked - Gaikwad swivelled across, rode the bounce and then pulled it over square leg for a boundary"
10.5,Hardie,Gaikwad, 2 runs,"Hardie to Gaikwad, 2 runs, the slower short ball from Hardie, Gaikwad had to wait on it as he swivelled into the pull, picks the gap behind square on the on-side and he's back for the second"
10.4,Hardie,Tilak Varma, 1 run,"Hardie to Tilak Varma, 1 run, back of a length and well wide of off, steered square on the off-side for a single"
10.3,Hardie,Tilak Varma, no run,"Hardie to Tilak Varma, no run, short of a good length and angling across the left-hander, defended to the off-side"
10.2,Hardie,Suryakumar Yadav, out Caught by Wade!! Edged and caught! A big wicket and Hardie has broken through - shortened the length on this slower ball and hit the deck hard,"Hardie to Suryakumar Yadav, out Caught by Wade!! Edged and caught! A big wicket and Hardie has broken through - shortened the length on this slower ball and hit the deck hard, Suryakumar swivelled across and then swung, but he swung early, was through with the shot and the ball caught a big edge on its way to the keeper. Wade throws the ball in delight and India have lost their captain. Suryakumar Yadav c Wade b Hardie 39(29) [4s-5 6s-2]"
10.1,Hardie,Gaikwad, 1 run,"Hardie to Gaikwad, 1 run, fuller length delivery and well wide of off, drilled to deep cover for a single"
9.6,Nathan Ellis,Suryakumar Yadav, no run,"Nathan Ellis to Suryakumar Yadav, no run, fuller length delivery and well wide of off, Suryakumar reaches out and gets an inside edge on the drive, the ball drops to the off-side and he wanted a single, but his partner ain't interested"
9.5,Nathan Ellis,Gaikwad, 1 run,"Nathan Ellis to Gaikwad, 1 run, short of a length and at the stumps, nudged through mid-wicket for a single"
9.4,Nathan Ellis,Gaikwad, no run,"Nathan Ellis to Gaikwad, no run, another slower short ball outside off - Gaikwad was early into the pull and drags an inside edge onto his pad"
9.3,Nathan Ellis,Suryakumar Yadav, 1 run,"Nathan Ellis to Suryakumar Yadav, 1 run, slower short ball outside off, Suryakumar chops an under-edge to short third man and they're off for a quick single"
9.2,Nathan Ellis,Suryakumar Yadav, FOUR,"Nathan Ellis to Suryakumar Yadav, FOUR, creamed, full and at the stumps, Suryakumar leans forward, presents the full face of the bat and then caresses the drive between the non-striker and the umpire, beating mid-on's dive to his left"
9.1,Nathan Ellis,Suryakumar Yadav, no run,"Nathan Ellis to Suryakumar Yadav, no run, on a good length and angling across the right-hander, Suryakumar has a poke at that and missed"
8.6,Sangha,Gaikwad, 2 runs,"Sangha to Gaikwad, 2 runs, Sangha dragged the length back on off, pulled away to the right of long-on and the two batters scamper back for the second"
8.5,Sangha,Gaikwad, FOUR,"Sangha to Gaikwad, FOUR, cracking shot, Gaikwad comes down the pitch, makes room and then plays a sublime drive, finds the gap past cover anbd the fast outfield does the rest"
8.4,Sangha,Gaikwad, no run,"Sangha to Gaikwad, no run, flatter and just outside off, punched off the back-foot to backward point"
8.3,Sangha,Suryakumar Yadav, 1 run,"Sangha to Suryakumar Yadav, 1 run, short and spinning away from wide of off, cut square past cover-point for a single"
8.2,Sangha,Suryakumar Yadav, no run,"Sangha to Suryakumar Yadav, no run, Sangha drags the length back on off, pushed off the back-foot to cover"
8.1,Sangha,Gaikwad, 1 run,"Sangha to Gaikwad, 1 run, tossed up on middle and leg, driven down towards long-on for a single"
7.6,Hardie,Gaikwad, 1 run,"Hardie to Gaikwad, 1 run, fuller length delivery outside off, driven straight to the fielder at mid-off for a quick single"
7.5,Hardie,Suryakumar Yadav, 1 run,"Hardie to Suryakumar Yadav, 1 run, short of a good length and well wide of off, Suryakumar slices the drive over cover-point, on the bounce to the fielder in the deep"
7.4,Hardie,Suryakumar Yadav, FOUR,"Hardie to Suryakumar Yadav, FOUR, back-to-back boundaries now, short and at the stumps - Suryakumar swivels across and then pulls it over square leg, two men in the deep and he bisected them to perfection"
7.3,Hardie,Suryakumar Yadav, FOUR,"Hardie to Suryakumar Yadav, FOUR, typical Suryakumar shot, width on offer and he then flays the drive wide of point - the feet hardly moved, but he did open the face of the bat and found the gap square past point"
7.2,Hardie,Gaikwad, 1 run,"Hardie to Gaikwad, 1 run, back of a length and just outside off, muscled down to long-on for a single"
7.1,Hardie,Suryakumar Yadav, 1 run,"Hardie to Suryakumar Yadav, 1 run, fuller length delivery and well wide of off, Suryakumar reached out on the drive and gets an under-edge that rolls past the keeper"
6.6,Sangha,Suryakumar Yadav, 1 run,"Sangha to Suryakumar Yadav, 1 run, tossed up on off, pushed into the gap wide of cover for a single - 11 off the over"
6.5,Sangha,Suryakumar Yadav, FOUR,"Sangha to Suryakumar Yadav, FOUR, nicely played, pushed through quicker and just outside off - Suryakumar backs away on the cut, gets a fine edge and the ball races away through the vacant slip region"
6.4,Sangha,Suryakumar Yadav, no run,"Sangha to Suryakumar Yadav, no run, beautifully bowled, a lovely leg-break from Sangha - drifts in and spins away, teasing Suryakumar on the drive and beating him on the outside edge"
6.3,Sangha,Gaikwad, 1 run,"Sangha to Gaikwad, 1 run, dropped short and wide of off, cut away square on the off-side for a single"
6.2,Sangha,Suryakumar Yadav, 1 run,"Sangha to Suryakumar Yadav, 1 run, much better from Sangha, was the attempted wrong 'un, slid on straight and catches Suryakumar's inside edge on the drive, a single behind square on the on-side"
6.1,Sangha,Suryakumar Yadav, FOUR,"Sangha to Suryakumar Yadav, FOUR, poor start from Sangha, full-toss wide down leg, all Suryakumar needs to do is to get some bat on the sweep, he does so and sends it fine, beating the fielder in the ring"
5.6,Behrendorff,Gaikwad, no run,"Behrendorff to Gaikwad, no run, beaten, on a good length and holding its line outside off - draws Gaikwad into an extravagant drive and beats him on the inside edge, wasn't too far away from the off-stump as well"
5.5,Behrendorff,Gaikwad, no run,"Behrendorff to Gaikwad, no run, slower cutter outside off, driven straight to the fielder at cover"
5.4,Behrendorff,Gaikwad, no run,"Behrendorff to Gaikwad, no run, short of a good length and just outside off, Gaikwad swivels across and finds mid-on with the flat-batted pull"
5.3,Behrendorff,Gaikwad, FOUR,"Behrendorff to Gaikwad, FOUR, lovely, tad too full from Behrendorff, Gaikwad leans forward, presents the full face of the bat and then punches it straight past the non-striker, no need to run for those"
5.2,Behrendorff,Gaikwad, no run,"Behrendorff to Gaikwad, no run, short of a good length and just outside off, punched off the back-foot to backward point"
5.1,Behrendorff,Gaikwad, no run,"Behrendorff to Gaikwad, no run, nicely bowled, Behrendorff shortens the length and angles one across the right-hander, has Gaikwad feeling for it and beats him on the outside edge"
4.6,Nathan Ellis,Suryakumar Yadav, SIX,"Nathan Ellis to Suryakumar Yadav, SIX, that's easy pickings and it's 13 off the over, leg-stump half-volley from Ellis - Suryakumar gets inside the line and then whips it over long leg for a maximum - the fielder at fine leg was a mere spectator as the ball soared into the 1st tier"
4.5,Nathan Ellis,Suryakumar Yadav, no run,"Nathan Ellis to Suryakumar Yadav, no run, Ellis shortens the length around off, defended to the off-side"
4.4,Nathan Ellis,Suryakumar Yadav, no run,"Nathan Ellis to Suryakumar Yadav, no run, fuller length delivery at the stumps, driven straight to the fielder at mid-on"
4.3,Nathan Ellis,Suryakumar Yadav, SIX,"Nathan Ellis to Suryakumar Yadav, SIX, cheeky and six - on a length and angling into the right-hander, Suryakumar gets down low, watches the ball all the way, used the pace on the ball and then paddled it over long leg for a maximum"
4.2,Nathan Ellis,Gaikwad, 1 run,"Nathan Ellis to Gaikwad, 1 run, fuller length delivery on the pads, whipped over backward square leg for a single"
4.1,Nathan Ellis,Gaikwad, no run,"Nathan Ellis to Gaikwad, no run, fuller length delivery on off, Gaikwad prods forward and defends it to mid-off"
3.6,Behrendorff,Suryakumar Yadav, no run,"Behrendorff to Suryakumar Yadav, no run, Behrendorff shortens the length and cramps Suryakumar for room on the cut, defended to the off-side"
3.5,Behrendorff,Suryakumar Yadav, no run,"Behrendorff to Suryakumar Yadav, no run, short of a good length and just outside off, Suryakumar gets behind the line and defends it to the off-side"
3.4,Behrendorff,Suryakumar Yadav, no run,"Behrendorff to Suryakumar Yadav, no run, lovely, on a good length and angling away from the right-hander - drags Suryakumar into the drive and whizzes past the outside edge"
3.3,Behrendorff,Suryakumar Yadav, no run,"Behrendorff to Suryakumar Yadav, no run, on a good length and at the stumps, nudged in front of mid-wicket and Suryakumar wanted a single, sent back by his partner"
3.2,Behrendorff,Suryakumar Yadav, no run,"Behrendorff to Suryakumar Yadav, no run, Behrendorff shortens the length on off, pushed back at the bowler who makes a half-stop on his followthrough"
3.1,Behrendorff,Suryakumar Yadav, no run,"Behrendorff to Suryakumar Yadav, no run, on a good length and just outside off, Suryakumar stays besides the line and pushes it to the off-side"
3.1,Behrendorff,Suryakumar Yadav, wide,"Behrendorff to Suryakumar Yadav, wide, loose delivery from Behrendorff, short and wayward, called as a wide"
2.6,K Richardson,Suryakumar Yadav, 1 run,"K Richardson to Suryakumar Yadav, 1 run, full and wide of off, would've been a wide had Suryakumar let it go, but he reached out on the drive and placed it to the right of point - the fielder diving and making a half-stop"
2.5,K Richardson,Suryakumar Yadav, no run,"K Richardson to Suryakumar Yadav, no run, fuller length delivery on off, Suryakumar leans across and finds mid-on with the drive"
2.4,K Richardson,Suryakumar Yadav, no run,"K Richardson to Suryakumar Yadav, no run, half-an-appeal for LBW, but Suryakumar was hit high on the pad, the nip-backer and he was beaten on the inside edge as he shuffled across, struck high on the thigh-pad"
2.3,K Richardson,Ishan Kishan, out Caught by Stoinis!! Short and wide of off,"K Richardson to Ishan Kishan, out Caught by Stoinis!! Short and wide of off, and Ishan Kishan has slapped it straight into the hands of cover. - width on offer and Kishan saw the chance of getting runs, but there's some extra bounce and he's mistimed the back-foot drive badly, popped in the air and into the big hands of Stoinis, who doesn't miss out. Ishan Kishan c Stoinis b K Richardson 0(5)"
2.2,K Richardson,Gaikwad, 1 run,"K Richardson to Gaikwad, 1 run, short of a length and angling into the pads, tucked past square leg for a single"
2.1,K Richardson,Gaikwad, no run,"K Richardson to Gaikwad, no run, fuller length delivery and well wide of off, Gaikwad reaches out on the drive and mistimes it back at the bowler"
2.1,K Richardson,Gaikwad, 5 wides,"K Richardson to Gaikwad, 5 wides, Richardson is struggling to control this new ball, spills one well down leg and it swings away late, Wade can only parry it to the ropes with the dive"
1.6,Behrendorff,Ishan Kishan, no run,"Behrendorff to Ishan Kishan, no run, fuller length delivery outside off, driven crisply and straight to the fielder at cover"
1.5,Behrendorff,Ishan Kishan, no run,"Behrendorff to Ishan Kishan, no run, short of a good length and just outside off, steered straight to the fielder at backward point"
1.4,Behrendorff,Ishan Kishan, leg byes,"Behrendorff to Ishan Kishan, leg byes, FOUR, too short and too straight from Behrendorff, on the pads and it beats Wade on the right, came off Kishan's pads as he looked to flick"
1.3,Behrendorff,Ishan Kishan, no run,"Behrendorff to Ishan Kishan, no run, short of a good length and just outside off, defended to the on-side"
1.2,Behrendorff,Jaiswal, out Caught by Wade!! Edged and caught! Behrendorff strikes early once again,"Behrendorff to Jaiswal, out Caught by Wade!! Edged and caught! Behrendorff strikes early once again, on a good length and shaping away from off, Jaiswal charges down the pitch, makes room and looks to flay it over cover, gets a thick edge and Wade does the rest, moving swiftly across to his left. JaiswaWade b Behrendorff 6(6) [4s-1]"
1.1,Behrendorff,Jaiswal, no run,"Behrendorff to Jaiswal, no run, on a good length and slanting across the left-hander, left alone"
0.6,K Richardson,Gaikwad, FOUR,"K Richardson to Gaikwad, FOUR, edged and four, that slip fielder would've gobbled it up with ease, but Wade can only look in agony as the ball raced away - short of a good length and holding its line outside off, Gaikwad has a poke at that and the ball finds the big edge"
0.5,K Richardson,Jaiswal, 1 run,"K Richardson to Jaiswal, 1 run, back of a length and angling across the left-hander - Jaiswal swivels across and pulls it behind square on the on-side for a single"
0.4,K Richardson,Jaiswal, FOUR,"K Richardson to Jaiswal, FOUR, cracking shot, tad too short from Richardson - Jaiswal picks the length early, swivels across and then hammers the pull wide of mid-on, no need to run for those"
0.3,K Richardson,Jaiswal, no run,"K Richardson to Jaiswal, no run, fuller length delivery and shaping away from wide of off, Jaiswal went chasing after that and missed"
0.3,K Richardson,Jaiswal, wide,"K Richardson to Jaiswal, wide, Richardson pushes one full and wide of off, well past the tramlines and is called as a wide"
0.3,K Richardson,Gaikwad, 2 wides,"K Richardson to Gaikwad, 2 wides, Richardson attempts another inswinger as Gaikwad came down the pitch - but he spills it down leg and it swings away further - Wade diving to his left and amking a half-stop, saves some runs for his team"
0.2,K Richardson,Gaikwad, no run,"K Richardson to Gaikwad, no run, the inswinger now, nips back in from a length outside off and beats Gaikwad on the loose waft, could've so easily caught the inside edge"
0.1,K Richardson,Jaiswal, 1 run,"K Richardson to Jaiswal, 1 run, Richardson shortens the length around off, dabbed down towards third man for a single"
0.1,K Richardson,Jaiswal, wide,"K Richardson to Jaiswal, wide, on a good length and pushed across the left-hander, but it swirls past the tramlines and is called as a wide"
