input,Commentary
Maxwell Gaikwad  FOUR,"Maxwell to Gaikwad, FOUR, India finish with 222/3 in 20 overs! Gaikwad spanks this over deep mid-wicket and the fielder sprinting across only manages to get his hands to it, can't grab the ball though and India finish on a high"
Maxwell Gaikwad  SIX,"Maxwell to Gaikwad, SIX, stays put and clubs this floated delivery over long-on for six more. Maxwell has no answers to this onslaught by Gaikwad"
Maxwell Gaikwad  SIX,"Maxwell to Gaikwad, SIX, shimmies down the wicket and smokes this floated delivery over long-on for a maximum more. Insane hitting"
Maxwell Gaikwad  wide,"Maxwell to Gaikwad, wide, fired down the leg-side, it's a wide ball"
Maxwell Tilak Varma  1 run,"Maxwell to Tilak Varma, 1 run, off an inside edge and off the pads towards the leg-side"
Maxwell Gaikwad  1 run,"Maxwell to Gaikwad, 1 run, into the slot and Gaikwad has heaved this towards deep mid-wicket on the bounce"
Maxwell Gaikwad  no ball,"Maxwell to Gaikwad, no ball, FOUR, smashes this floated delivery right over the bowler's head and manages to beat long-off, but Maxwell has overstepped. Free-hit coming up!"
Maxwell Gaikwad  SIX,"Maxwell to Gaikwad, SIX, maiden T20I century for Gaikwad! What a special moment as he takes off the helmet and celebrates it in style. Has a wide smile on his face too. Brings it up with a maximum over deep mid-wicket and Tilak walks up to him and congratulates him. Not for the first time have we seen him play such a knock. Has done this on several previous occasions in India's domestic circuit and in the Indian Premier League.."
Nathan Ellis Tilak Varma  2 runs,"Nathan Ellis to Tilak Varma, 2 runs, slashed over cover as it's a widish delivery, but it lands just in front of the fielder who was charging in from the deep"
Nathan Ellis Tilak Varma  FOUR,"Nathan Ellis to Tilak Varma, FOUR, runs coming thick and fast from both the ends! A short ball by Nathan Ellis and Tilak Varma swivel-pulls this towards deep square leg as the ball almost goes the distance"
Nathan Ellis Tilak Varma  2 runs,"Nathan Ellis to Tilak Varma, 2 runs, scoops this short ball over the keeper's head for a couple of runs. Couldn't really middle it as there wasn't much pace on offer"
Nathan Ellis Tilak Varma  no run,"Nathan Ellis to Tilak Varma, no run, slower bouncer outside off, Tilak Varma swings and misses, got deceived due to the lack of pace"
Nathan Ellis Gaikwad  1 run,"Nathan Ellis to Gaikwad, 1 run, opens the bat face and slices this towards backward point for one"
Nathan Ellis Tilak Varma  1 run,"Nathan Ellis to Tilak Varma, 1 run, good field placement as Tilak Varma whips it towards deep mid-wicket, nothing more than a single though"
Nathan Ellis Tilak Varma  wide,"Nathan Ellis to Tilak Varma, wide, fired outside off, Tilak Varma can't reach for it, back-to-back wides"
Nathan Ellis Tilak Varma  wide,"Nathan Ellis to Tilak Varma, wide, starts off with a wide, goes slow, but misses the tramline outside off"
Hardie Gaikwad  2 runs,"Hardie to Gaikwad, 2 runs, 25 runs from the over! Gaikwad goes down on his knee and swipes this towards deep mid-wicket, but the fielder stationed near the fence sprints across and stops it"
Hardie Gaikwad  SIX,"Hardie to Gaikwad, SIX, excellent batting! Walks across in the crease and swipes this overpitched delivery over deep backward square leg. Into the 90s now!"
Hardie Gaikwad  no run,"Hardie to Gaikwad, no run, looks to play across, but Hardie goes full and wide outside off"
Hardie Gaikwad  FOUR,"Hardie to Gaikwad, FOUR, add four more to it. Hardie is proving to be really expensive in his last over. Goes full again and Gaikwad lofts it over the bowler's head and the lightning quick outfield is enough to fetch him a boundary. Plenty of changes in the field following that as the bowler seems to be under tremendous pressure"
Hardie Gaikwad  SIX,"Hardie to Gaikwad, SIX, short and punished! Gets hold of this loosener and thumps it over deep mid-wicket for the second maximum of the over"
Hardie Gaikwad  wide,"Hardie to Gaikwad, wide, Hardie goes wide outside off and it's missed the tramline. Wade wants a review for a wide, but it's not available in this format"
Hardie Gaikwad  SIX,"Hardie to Gaikwad, SIX, spanked! Hardie goes full and straight outside off, Gaikwad stands tall and lofts it over long-off for a clean six. No need to run for those"
Behrendorff Gaikwad  1 run,"Behrendorff to Gaikwad, 1 run, end of a fantastic spell by Behrendorff. Can well prove to be a match defining one. Right into the blockhole and Gaikwad can only manage to dig it towards deep mid-on. A single to end Behrendorff's spell: 4-1-12-1"
Behrendorff Tilak Varma  1 run,"Behrendorff to Tilak Varma, 1 run, 111 kph, Tilak Varma swings across the line, gets an inside edge on to the pads. The ball rolls towards the leg-side for a single"
Behrendorff Gaikwad  1 run,"Behrendorff to Gaikwad, 1 run, back to a quicker delivery, Gaikwad gets a leading edge towards mid-off as he tries to play this across the line"
Behrendorff Tilak Varma  1 run,"Behrendorff to Tilak Varma, 1 run, another slower one around off, Tilak Varma eases it towards mid-off for one"
Behrendorff Gaikwad  1 run,"Behrendorff to Gaikwad, 1 run, Behrendorff goes short and slow, Gaikwad pulls this through the on-side for a single"
Behrendorff Gaikwad  2 runs,"Behrendorff to Gaikwad, 2 runs, 150 up for India! A length delivery by Behrendorff and Gaikwad heaves it through the leg-side for a couple of runs"
Nathan Ellis Gaikwad  1 run,"Nathan Ellis to Gaikwad, 1 run, short of a length around middle and leg, Gaikwad drags it towards deep mid-wicket for a single"
Nathan Ellis Tilak Varma  1 run,"Nathan Ellis to Tilak Varma, 1 run, short and quick on middle and leg, Tilak Varma goes for the pull, miscues it towards deep square leg for one"
Nathan Ellis Tilak Varma  no run,"Nathan Ellis to Tilak Varma, no run, slower short ball outside off, Tilak Varma swings and misses"
Nathan Ellis Gaikwad  1 run,"Nathan Ellis to Gaikwad, 1 run, full and straight at the stumps, Gaikwad heaves this towards wide long-on for one"
Nathan Ellis Tilak Varma  1 run,"Nathan Ellis to Tilak Varma, 1 run, slower short ball outside off, Tilak Varma chops it towards gully for a single"
Nathan Ellis Gaikwad  1 run,"Nathan Ellis to Gaikwad, 1 run, slower delivery on middle and leg, Gaikwad works this through mid-wicket for one"
Sangha Tilak Varma  no run,"Sangha to Tilak Varma, no run, fired outside off, Tilak Varma has a poke at it and almost nicks it behind"
Sangha Tilak Varma  no run,"Sangha to Tilak Varma, no run, spins in sharply, Tilak Varma stays rooted in the crease and knocks this back to Sangha"
Sangha Gaikwad  1 run,"Sangha to Gaikwad, 1 run, tad short outside off, Gaikwad carves this through the off-side for one"
Sangha Gaikwad  SIX,"Sangha to Gaikwad, SIX, goes inside out and lofts this nonchalantly over deep extra cover for half-a-dozen. This is Gaikwad's hightest score in T20Is"
Sangha Gaikwad  FOUR,"Sangha to Gaikwad, FOUR, swept away! Floated on middle and leg, Gaikwad goes down on his knee and sweeps it past short fine leg for four more"
Sangha Gaikwad  no run,"Sangha to Gaikwad, no run, tad short outside off, Gaikwad cuts it towards the fielder at point"
Hardie Tilak Varma  wide,"Hardie to Tilak Varma, wide, banged in short by Hardie, Tilak Varma goes for the hook, but misses. Called an overhead wide this time around"
Hardie Gaikwad  1 run,"Hardie to Gaikwad, 1 run, opens the bat face and steers this short of a length delivery to third man for one"
Hardie Gaikwad  FOUR,"Hardie to Gaikwad, FOUR, fifty for Gaikwad! Hardie goes short and the opener nails his pull through mid-wicket to bring up the milestone. Raises his bat to acknowledge the crowd. Another solid knock by him"
Hardie Gaikwad  wide,"Hardie to Gaikwad, wide, back-to-back wides, another one well outside off"
Hardie Gaikwad  wide,"Hardie to Gaikwad, wide, goes for the wide yorker but misses the tramline"
Hardie Gaikwad  FOUR,"Hardie to Gaikwad, FOUR, width on offer, Gaikwad pounces on it and crunches it through cover-point for a rollicking boundary"
Hardie Gaikwad  2 runs,"Hardie to Gaikwad, 2 runs, decent running between the wickets, Gaikwad clips this through mid-wicket for a couple of runs"
Sangha Gaikwad  FOUR,"Sangha to Gaikwad, FOUR, back-to-back boundaries for Gaikwad - another half-tracker from Sangha, short and wide of off, Gaikwad backs away and then slaps it over cover for another boundary, 12 off the over"
Sangha Gaikwad  FOUR,"Sangha to Gaikwad, FOUR, clubbed, a half-tracker from Sangha - Gaikwad rocks back and then hammers the pull over mid-wicket, one bounce and over the ropes"
Sangha Tilak Varma  1 run,"Sangha to Tilak Varma, 1 run, tossed up on off, worked in front of square on the on-side for a single"
Sangha Tilak Varma  wide,"Sangha to Tilak Varma, wide, pushed through with a seam-up action, but it's past the tramlines and is called as a wide"
Sangha Tilak Varma  no run,"Sangha to Tilak Varma, no run, tossed up well wide of off, sliced away straight to the fielder at backward point"
Sangha Gaikwad  1 run,"Sangha to Gaikwad, 1 run, flighted delivery on middle and leg, worked down to long-on for a single"
Sangha Tilak Varma  1 run,"Sangha to Tilak Varma, 1 run, tossed up on middle and leg, pulled away behind square on the on-side for a single"
K Richardson Gaikwad  FOUR,"K Richardson to Gaikwad, FOUR, lovely, short and wide of off, Gaikwad gets on top of the bounce and then crunches it square past point, races away to the ropes"
K Richardson Gaikwad  no run,"K Richardson to Gaikwad, no run, fuller length delivery and well wide of off, Gaikwad picks out backward point with the cut"
K Richardson Tilak Varma  1 run,"K Richardson to Tilak Varma, 1 run, back of a length and angling across the left-hander, Varma runs it down towards third man"
K Richardson Tilak Varma  FOUR,"K Richardson to Tilak Varma, FOUR, slapped, width on offer from Richardson - Varma leans across, opens the face of the bat and then slices the drive square past point, races away to the ropes in a hurry"
K Richardson Tilak Varma  no run,"K Richardson to Tilak Varma, no run, short of a good length and just outside off, defended back at the bowler"
K Richardson Tilak Varma  FOUR,"K Richardson to Tilak Varma, FOUR, that's easy pickings for Tilak Varma - back of a length and well down leg, the left-hander swivels across and pulls it over long leg, who was inside the ring - almost went all the way, bouncing in front of the ropes"
Hardie Gaikwad  FOUR,"Hardie to Gaikwad, FOUR, beautifully played, another slower short ball from Hardie, but this one sat up to be smacked - Gaikwad swivelled across, rode the bounce and then pulled it over square leg for a boundary"
Hardie Gaikwad  2 runs,"Hardie to Gaikwad, 2 runs, the slower short ball from Hardie, Gaikwad had to wait on it as he swivelled into the pull, picks the gap behind square on the on-side and he's back for the second"
Hardie Tilak Varma  1 run,"Hardie to Tilak Varma, 1 run, back of a length and well wide of off, steered square on the off-side for a single"
Hardie Tilak Varma  no run,"Hardie to Tilak Varma, no run, short of a good length and angling across the left-hander, defended to the off-side"
Hardie Suryakumar Yadav  out Caught by Wade!! Edged and caught! A big wicket and Hardie has broken through - shortened the length on this slower ball and hit the deck hard,"Hardie to Suryakumar Yadav, out Caught by Wade!! Edged and caught! A big wicket and Hardie has broken through - shortened the length on this slower ball and hit the deck hard, Suryakumar swivelled across and then swung, but he swung early, was through with the shot and the ball caught a big edge on its way to the keeper. Wade throws the ball in delight and India have lost their captain. Suryakumar Yadav c Wade b Hardie 39(29) [4s-5 6s-2]"
Hardie Gaikwad  1 run,"Hardie to Gaikwad, 1 run, fuller length delivery and well wide of off, drilled to deep cover for a single"
Nathan Ellis Suryakumar Yadav  no run,"Nathan Ellis to Suryakumar Yadav, no run, fuller length delivery and well wide of off, Suryakumar reaches out and gets an inside edge on the drive, the ball drops to the off-side and he wanted a single, but his partner ain't interested"
Nathan Ellis Gaikwad  1 run,"Nathan Ellis to Gaikwad, 1 run, short of a length and at the stumps, nudged through mid-wicket for a single"
Nathan Ellis Gaikwad  no run,"Nathan Ellis to Gaikwad, no run, another slower short ball outside off - Gaikwad was early into the pull and drags an inside edge onto his pad"
Nathan Ellis Suryakumar Yadav  1 run,"Nathan Ellis to Suryakumar Yadav, 1 run, slower short ball outside off, Suryakumar chops an under-edge to short third man and they're off for a quick single"
Nathan Ellis Suryakumar Yadav  FOUR,"Nathan Ellis to Suryakumar Yadav, FOUR, creamed, full and at the stumps, Suryakumar leans forward, presents the full face of the bat and then caresses the drive between the non-striker and the umpire, beating mid-on's dive to his left"
Nathan Ellis Suryakumar Yadav  no run,"Nathan Ellis to Suryakumar Yadav, no run, on a good length and angling across the right-hander, Suryakumar has a poke at that and missed"
Sangha Gaikwad  2 runs,"Sangha to Gaikwad, 2 runs, Sangha dragged the length back on off, pulled away to the right of long-on and the two batters scamper back for the second"
Sangha Gaikwad  FOUR,"Sangha to Gaikwad, FOUR, cracking shot, Gaikwad comes down the pitch, makes room and then plays a sublime drive, finds the gap past cover anbd the fast outfield does the rest"
Sangha Gaikwad  no run,"Sangha to Gaikwad, no run, flatter and just outside off, punched off the back-foot to backward point"
Sangha Suryakumar Yadav  1 run,"Sangha to Suryakumar Yadav, 1 run, short and spinning away from wide of off, cut square past cover-point for a single"
Sangha Suryakumar Yadav  no run,"Sangha to Suryakumar Yadav, no run, Sangha drags the length back on off, pushed off the back-foot to cover"
Sangha Gaikwad  1 run,"Sangha to Gaikwad, 1 run, tossed up on middle and leg, driven down towards long-on for a single"
Hardie Gaikwad  1 run,"Hardie to Gaikwad, 1 run, fuller length delivery outside off, driven straight to the fielder at mid-off for a quick single"
Hardie Suryakumar Yadav  1 run,"Hardie to Suryakumar Yadav, 1 run, short of a good length and well wide of off, Suryakumar slices the drive over cover-point, on the bounce to the fielder in the deep"
Hardie Suryakumar Yadav  FOUR,"Hardie to Suryakumar Yadav, FOUR, back-to-back boundaries now, short and at the stumps - Suryakumar swivels across and then pulls it over square leg, two men in the deep and he bisected them to perfection"
Hardie Suryakumar Yadav  FOUR,"Hardie to Suryakumar Yadav, FOUR, typical Suryakumar shot, width on offer and he then flays the drive wide of point - the feet hardly moved, but he did open the face of the bat and found the gap square past point"
Hardie Gaikwad  1 run,"Hardie to Gaikwad, 1 run, back of a length and just outside off, muscled down to long-on for a single"
Hardie Suryakumar Yadav  1 run,"Hardie to Suryakumar Yadav, 1 run, fuller length delivery and well wide of off, Suryakumar reached out on the drive and gets an under-edge that rolls past the keeper"
Sangha Suryakumar Yadav  1 run,"Sangha to Suryakumar Yadav, 1 run, tossed up on off, pushed into the gap wide of cover for a single - 11 off the over"
Sangha Suryakumar Yadav  FOUR,"Sangha to Suryakumar Yadav, FOUR, nicely played, pushed through quicker and just outside off - Suryakumar backs away on the cut, gets a fine edge and the ball races away through the vacant slip region"
Sangha Suryakumar Yadav  no run,"Sangha to Suryakumar Yadav, no run, beautifully bowled, a lovely leg-break from Sangha - drifts in and spins away, teasing Suryakumar on the drive and beating him on the outside edge"
Sangha Gaikwad  1 run,"Sangha to Gaikwad, 1 run, dropped short and wide of off, cut away square on the off-side for a single"
Sangha Suryakumar Yadav  1 run,"Sangha to Suryakumar Yadav, 1 run, much better from Sangha, was the attempted wrong 'un, slid on straight and catches Suryakumar's inside edge on the drive, a single behind square on the on-side"
Sangha Suryakumar Yadav  FOUR,"Sangha to Suryakumar Yadav, FOUR, poor start from Sangha, full-toss wide down leg, all Suryakumar needs to do is to get some bat on the sweep, he does so and sends it fine, beating the fielder in the ring"
Behrendorff Gaikwad  no run,"Behrendorff to Gaikwad, no run, beaten, on a good length and holding its line outside off - draws Gaikwad into an extravagant drive and beats him on the inside edge, wasn't too far away from the off-stump as well"
Behrendorff Gaikwad  no run,"Behrendorff to Gaikwad, no run, slower cutter outside off, driven straight to the fielder at cover"
Behrendorff Gaikwad  no run,"Behrendorff to Gaikwad, no run, short of a good length and just outside off, Gaikwad swivels across and finds mid-on with the flat-batted pull"
Behrendorff Gaikwad  FOUR,"Behrendorff to Gaikwad, FOUR, lovely, tad too full from Behrendorff, Gaikwad leans forward, presents the full face of the bat and then punches it straight past the non-striker, no need to run for those"
Behrendorff Gaikwad  no run,"Behrendorff to Gaikwad, no run, short of a good length and just outside off, punched off the back-foot to backward point"
Behrendorff Gaikwad  no run,"Behrendorff to Gaikwad, no run, nicely bowled, Behrendorff shortens the length and angles one across the right-hander, has Gaikwad feeling for it and beats him on the outside edge"
Nathan Ellis Suryakumar Yadav  SIX,"Nathan Ellis to Suryakumar Yadav, SIX, that's easy pickings and it's 13 off the over, leg-stump half-volley from Ellis - Suryakumar gets inside the line and then whips it over long leg for a maximum - the fielder at fine leg was a mere spectator as the ball soared into the 1st tier"
Nathan Ellis Suryakumar Yadav  no run,"Nathan Ellis to Suryakumar Yadav, no run, Ellis shortens the length around off, defended to the off-side"
Nathan Ellis Suryakumar Yadav  no run,"Nathan Ellis to Suryakumar Yadav, no run, fuller length delivery at the stumps, driven straight to the fielder at mid-on"
Nathan Ellis Suryakumar Yadav  SIX,"Nathan Ellis to Suryakumar Yadav, SIX, cheeky and six - on a length and angling into the right-hander, Suryakumar gets down low, watches the ball all the way, used the pace on the ball and then paddled it over long leg for a maximum"
Nathan Ellis Gaikwad  1 run,"Nathan Ellis to Gaikwad, 1 run, fuller length delivery on the pads, whipped over backward square leg for a single"
Nathan Ellis Gaikwad  no run,"Nathan Ellis to Gaikwad, no run, fuller length delivery on off, Gaikwad prods forward and defends it to mid-off"
Behrendorff Suryakumar Yadav  no run,"Behrendorff to Suryakumar Yadav, no run, Behrendorff shortens the length and cramps Suryakumar for room on the cut, defended to the off-side"
Behrendorff Suryakumar Yadav  no run,"Behrendorff to Suryakumar Yadav, no run, short of a good length and just outside off, Suryakumar gets behind the line and defends it to the off-side"
Behrendorff Suryakumar Yadav  no run,"Behrendorff to Suryakumar Yadav, no run, lovely, on a good length and angling away from the right-hander - drags Suryakumar into the drive and whizzes past the outside edge"
Behrendorff Suryakumar Yadav  no run,"Behrendorff to Suryakumar Yadav, no run, on a good length and at the stumps, nudged in front of mid-wicket and Suryakumar wanted a single, sent back by his partner"
Behrendorff Suryakumar Yadav  no run,"Behrendorff to Suryakumar Yadav, no run, Behrendorff shortens the length on off, pushed back at the bowler who makes a half-stop on his followthrough"
Behrendorff Suryakumar Yadav  no run,"Behrendorff to Suryakumar Yadav, no run, on a good length and just outside off, Suryakumar stays besides the line and pushes it to the off-side"
Behrendorff Suryakumar Yadav  wide,"Behrendorff to Suryakumar Yadav, wide, loose delivery from Behrendorff, short and wayward, called as a wide"
K Richardson Suryakumar Yadav  1 run,"K Richardson to Suryakumar Yadav, 1 run, full and wide of off, would've been a wide had Suryakumar let it go, but he reached out on the drive and placed it to the right of point - the fielder diving and making a half-stop"
K Richardson Suryakumar Yadav  no run,"K Richardson to Suryakumar Yadav, no run, fuller length delivery on off, Suryakumar leans across and finds mid-on with the drive"
K Richardson Suryakumar Yadav  no run,"K Richardson to Suryakumar Yadav, no run, half-an-appeal for LBW, but Suryakumar was hit high on the pad, the nip-backer and he was beaten on the inside edge as he shuffled across, struck high on the thigh-pad"
K Richardson Ishan Kishan  out Caught by Stoinis!! Short and wide of off,"K Richardson to Ishan Kishan, out Caught by Stoinis!! Short and wide of off, and Ishan Kishan has slapped it straight into the hands of cover. - width on offer and Kishan saw the chance of getting runs, but there's some extra bounce and he's mistimed the back-foot drive badly, popped in the air and into the big hands of Stoinis, who doesn't miss out. Ishan Kishan c Stoinis b K Richardson 0(5)"
K Richardson Gaikwad  1 run,"K Richardson to Gaikwad, 1 run, short of a length and angling into the pads, tucked past square leg for a single"
K Richardson Gaikwad  no run,"K Richardson to Gaikwad, no run, fuller length delivery and well wide of off, Gaikwad reaches out on the drive and mistimes it back at the bowler"
K Richardson Gaikwad  5 wides,"K Richardson to Gaikwad, 5 wides, Richardson is struggling to control this new ball, spills one well down leg and it swings away late, Wade can only parry it to the ropes with the dive"
Behrendorff Ishan Kishan  no run,"Behrendorff to Ishan Kishan, no run, fuller length delivery outside off, driven crisply and straight to the fielder at cover"
Behrendorff Ishan Kishan  no run,"Behrendorff to Ishan Kishan, no run, short of a good length and just outside off, steered straight to the fielder at backward point"
Behrendorff Ishan Kishan  leg byes,"Behrendorff to Ishan Kishan, leg byes, FOUR, too short and too straight from Behrendorff, on the pads and it beats Wade on the right, came off Kishan's pads as he looked to flick"
Behrendorff Ishan Kishan  no run,"Behrendorff to Ishan Kishan, no run, short of a good length and just outside off, defended to the on-side"
Behrendorff Jaiswal  out Caught by Wade!! Edged and caught! Behrendorff strikes early once again,"Behrendorff to Jaiswal, out Caught by Wade!! Edged and caught! Behrendorff strikes early once again, on a good length and shaping away from off, Jaiswal charges down the pitch, makes room and looks to flay it over cover, gets a thick edge and Wade does the rest, moving swiftly across to his left. JaiswaWade b Behrendorff 6(6) [4s-1]"
Behrendorff Jaiswal  no run,"Behrendorff to Jaiswal, no run, on a good length and slanting across the left-hander, left alone"
K Richardson Gaikwad  FOUR,"K Richardson to Gaikwad, FOUR, edged and four, that slip fielder would've gobbled it up with ease, but Wade can only look in agony as the ball raced away - short of a good length and holding its line outside off, Gaikwad has a poke at that and the ball finds the big edge"
K Richardson Jaiswal  1 run,"K Richardson to Jaiswal, 1 run, back of a length and angling across the left-hander - Jaiswal swivels across and pulls it behind square on the on-side for a single"
K Richardson Jaiswal  FOUR,"K Richardson to Jaiswal, FOUR, cracking shot, tad too short from Richardson - Jaiswal picks the length early, swivels across and then hammers the pull wide of mid-on, no need to run for those"
K Richardson Jaiswal  no run,"K Richardson to Jaiswal, no run, fuller length delivery and shaping away from wide of off, Jaiswal went chasing after that and missed"
K Richardson Jaiswal  wide,"K Richardson to Jaiswal, wide, Richardson pushes one full and wide of off, well past the tramlines and is called as a wide"
K Richardson Gaikwad  2 wides,"K Richardson to Gaikwad, 2 wides, Richardson attempts another inswinger as Gaikwad came down the pitch - but he spills it down leg and it swings away further - Wade diving to his left and amking a half-stop, saves some runs for his team"
K Richardson Gaikwad  no run,"K Richardson to Gaikwad, no run, the inswinger now, nips back in from a length outside off and beats Gaikwad on the loose waft, could've so easily caught the inside edge"
K Richardson Jaiswal  1 run,"K Richardson to Jaiswal, 1 run, Richardson shortens the length around off, dabbed down towards third man for a single"
K Richardson Jaiswal  wide,"K Richardson to Jaiswal, wide, on a good length and pushed across the left-hander, but it swirls past the tramlines and is called as a wide"
